problem_mean,amb_pre_mean,CT_pre_mean,PS_pre_mean,answer_score.y,problem_post_mean,amb_post_mean,CT_post_mean,PS_post_mean,group,per_time,item,per_time_scale,item_sclae,per_score,rest,time_train,time_explain,correct_number,number_explain,self_efficacy,difficulty
3.57142857142857,3.57142857142857,.5,0,0,3.42857142857143,4,.5,0,High,286.641,7,.108146934925824,.857142857142857,.965289792068681,2.328,1006.265,176.972,0,3,0,10
3.57142857142857,2.42857142857143,.25,0,0,3.42857142857143,2.85714285714286,.5,.5,High,1311.333,8,.514906976781112,1,1.51490697678111,6.885,2771.63,21.882,3,1,7,8
4,3.42857142857143,.75,1,1,4.14285714285714,3.71428571428571,.5,1,High,242.268,7,.0905327022224904,.857142857142857,.947675559365348,2.586,686.476,41.252,2,2,7,6
3.57142857142857,3.57142857142857,.75,.5,1,3.28571428571429,3.71428571428571,.75,1,High,27.106,1,.00512235050151718,0,.00512235050151718,3.239,763.807,19.892,2,1,5,6
3.85714285714286,4.14285714285714,.75,1,1,4.28571428571429,4.28571428571429,.75,1,High,659.568,8,.256183420161356,1,1.25618342016136,36.552,3687.51,64.561,2,3,3,9
3.57142857142857,2.85714285714286,.75,.5,1,2.71428571428571,3.14285714285714,.5,1,High,46.949,2,.0129991949684736,.142857142857143,.155856337825616,1.769,701.611,33.467,0,2,0,0
4.28571428571429,3.57142857142857,1,1,1,4.28571428571429,3.57142857142857,1,1,High,563.644,8,.218105587744467,1,1.21810558774447,5.48,1622.046,30.453,4,4,10,2
4.14285714285714,1.85714285714286,1,1,1,4,2.57142857142857,.75,1,High,530.94,8,.205123461984887,1,1.20512346198489,1.923,1381.213,16.339,3,1,8,6
4.14285714285714,2,.75,1,1,4,3.14285714285714,.75,1,High,452.707,8,.174068219673573,1,1.17406821967357,6.154,1553.714,132.514,2,4,6,8
4.71428571428571,3.28571428571429,.5,0,0,4,3.28571428571429,.25,0,Low,212.524,8,.0787255731681563,1,1.07872557316816,2.936,680.126,34.762,1,3,1,8
3.57142857142857,2.71428571428571,.5,0,0,3.14285714285714,2.57142857142857,.25,0,Low,94.719,8,.0319618951744156,1,1.03196189517442,1.844,494.464,31.567,1,3,0,10
4.42857142857143,3,.75,1,1,3.85714285714286,3.85714285714286,1,1,High,259.052,2,.0971952511079108,.142857142857143,.240052393965054,4.794,2765.784,118.496,2,3,6,5
4.42857142857143,4.42857142857143,1,0,0,3.28571428571429,3.71428571428571,.5,0,High,517.95,8,.199966973065582,1,1.19996697306558,1.935,803.158,133.335,0,4,0,9
4.14285714285714,2.57142857142857,.75,.5,0,4,3.28571428571429,.75,0,High,396.069,8,.15158529285205,1,1.15158529285205,3.143,1647.816,36.737,2,4,5,8
3.85714285714286,2,.25,0,0,4.42857142857143,3.14285714285714,.5,0,High,285.725,8,.107783321080552,1,1.10778332108055,3.737,548.461,42.713,1,3,4,2
4.28571428571429,2.71428571428571,.75,.5,1,4.14285714285714,3.85714285714286,.75,1,High,615.741,8,.238785926715138,1,1.23878592671514,2.828,1220.175,0,4,0,10,7
3.85714285714286,3.28571428571429,.75,1,1,3.85714285714286,3.42857142857143,.25,1,Low,632.334,8,.245372656556402,1,1.2453726565564,2.321,725.512,70.143,0,3,0,5
3,2.71428571428571,1,1,0,3.85714285714286,3.42857142857143,.75,0,High,672.48,8,.261308946329644,1,1.26130894632964,2.117,1617.08,20.419,3,2,7,5
3.71428571428571,3.71428571428571,.25,0,0,3.85714285714286,3.71428571428571,.25,0,Low,120.88,8,.0423467224737174,1,1.04234672247372,2.397,1412.672,22.491,0,2,5,3
3.85714285714286,4.42857142857143,.75,.5,0,3.28571428571429,4.28571428571429,.5,.5,High,169.808,8,.0617691004447521,1,1.06176910044475,2.216,598.582,73.027,1,3,2,9
4.14285714285714,3,.5,0,0,3.57142857142857,2.71428571428571,.75,0,High,168.012,8,.0610561632546774,1,1.06105616325468,2.698,593.046,34.107,0,3,1,1
3.28571428571429,3.71428571428571,.25,0,0,2.57142857142857,3,.25,0,Low,271.369,8,.102084587060111,1,1.10208458706011,3.77,728.441,34.354,1,3,5,10
4.14285714285714,3.28571428571429,.75,1,1,4,3.28571428571429,.5,1,High,273.645,8,.102988064256441,1,1.10298806425644,1.519,652.105,13.014,2,2,3,6
3.71428571428571,3.28571428571429,1,.5,1,3.28571428571429,3.42857142857143,.75,1,High,369.425,8,.141008734671453,1,1.14100873467145,1.477,1098.191,41.83,1,4,4,8
2,2,.25,0,0,2.28571428571429,3,.25,0,Low,31.684,8,.00693962581118438,1,1.00693962581118,2.017,225.841,0,0,0,4,8
4.28571428571429,3.14285714285714,1,0,1,4.28571428571429,3.71428571428571,.5,1,High,811.452,8,.316475041640931,1,1.31647504164093,6.983,1416.12,4.671,2,1,3,8
4,4.14285714285714,.25,0,0,4,4.42857142857143,.25,0,Low,14.202,1,0,0,0,2.951,248.729,0,1,0,0,10
3.57142857142857,3.71428571428571,.5,0,0,2.85714285714286,2.71428571428571,.5,0,High,144.937,8,.0518963494122635,1,1.05189634941226,1.481,320.709,39.985,0,4,0,7
3.57142857142857,3.14285714285714,.5,0,1,2.85714285714286,2.85714285714286,1,.5,High,82.579,1,.0271428208495226,0,.0271428208495226,2.83,2726.361,71.397,0,3,2,1
3.42857142857143,2.85714285714286,1,0,0,3.14285714285714,3,.5,0,High,497.059,8,.191674116251633,1,1.19167411625163,1.757,1026.526,24.035,0,2,0,8
4.71428571428571,2.71428571428571,1,0,0,4.42857142857143,3.14285714285714,1,0,High,1354.058,8,.531867022129634,1,1.53186702212963,3.157,2349.664,12.852,3,1,9,8
4.14285714285714,3,.25,0,0,4.14285714285714,3.42857142857143,.25,0,Low,315.855,8,.119743676056584,1,1.11974367605658,4.119,191.158,0,1,0,3,10
4,4.14285714285714,.5,0,0,3.85714285714286,3.71428571428571,.75,0,High,581.906,8,.225354841065817,1,1.22535484106582,4.307,891.857,83.682,1,1,3,7
4.14285714285714,4.42857142857143,.5,1,1,4.28571428571429,3.85714285714286,.75,1,High,973.267,8,.380708856458274,1,1.38070885645827,1.981,1710.044,36.972,2,2,8,3
3.71428571428571,3.42857142857143,.75,0,0,3.57142857142857,3.28571428571429,.75,0,High,336.898,8,.128096870539181,1,1.12809687053918,2.579,667.616,75.08,0,4,1,7
3.42857142857143,3.14285714285714,.75,.5,1,2.14285714285714,2.42857142857143,.5,1,High,95.177,1,.0321437020970516,0,.0321437020970516,1.35,2413.291,0,0,0,0,0
3.57142857142857,1.71428571428571,.5,0,1,3.85714285714286,3,.75,.5,High,175.672,8,.064096864187847,1,1.06409686418785,1.697,1298.743,114.19,0,4,0,0
4.42857142857143,4,.5,1,1,4.42857142857143,4,.75,1,High,593.606,8,.229999253718309,1,1.22999925371831,1.738,2404.818,81.244,2,4,8,9
3.57142857142857,1.85714285714286,.75,1,1,3.85714285714286,3,.75,1,High,655.845,8,.254705544237832,1,1.25470554423783,2.597,2702.469,33.022,3,1,8,9
3.71428571428571,2.85714285714286,.25,1,1,4.14285714285714,2.71428571428571,.25,.5,Low,232.64,8,.0867107872636708,1,1.08671078726367,3.219,1188.505,0,0,0,0,10
3.42857142857143,3.71428571428571,.5,1,0,2.85714285714286,3.14285714285714,.75,0,High,574.731,8,.222506664930636,1,1.22250666493064,2.948,2157.156,45.6,1,3,5,7
4,3.71428571428571,.5,0,0,4.28571428571429,3.57142857142857,1,0,High,459.938,8,.176938625476152,1,1.17693862547615,1.728,917.99,49.031,0,3,0,10
2.85714285714286,2.14285714285714,.75,0,0,3.42857142857143,3.85714285714286,1,0,High,265.889,8,.0999092553220206,1,1.09990925532202,2.358,934.862,19.537,3,3,9,7
3.85714285714286,3.28571428571429,.5,0,0,3.14285714285714,3.71428571428571,0,0,Low,172.645,8,.0628952712733947,1,1.06289527127339,4.384,366.746,53.06,0,4,1,9
4.57142857142857,3.57142857142857,.5,.5,1,3.85714285714286,3.14285714285714,.75,.5,High,337.712,8,.128419994633123,1,1.12841999463312,2.938,1315.168,60.31,2,4,1,0
4.14285714285714,3.85714285714286,.5,0,0,3.57142857142857,3.28571428571429,.25,0,Low,108.413,3,.0373978427695625,.285714285714286,.323112128483848,4.457,659.687,0,3,0,7,9
3.85714285714286,3.42857142857143,.5,0,1,3.42857142857143,3.28571428571429,.75,1,High,414.874,8,.159050094555478,1,1.15905009455548,3.107,931.637,75.638,1,3,0,2
1,2.42857142857143,.25,0,0,3.57142857142857,4.14285714285714,1,0,High,452.263,8,.173891970167786,1,1.17389197016779,2.999,880.746,34.996,0,4,3,1
